Rank,Customer/Payor,Total,Number of Payments,First Payment,Last Payment
71,Rehabcare Group,2000,1,2011-01-26,2011-01-26
71,Turkish Coalition USA PAC,2000,2,2011-03-25,2012-04-17
71,Bridgepoint Education,2000,2,2011-07-07,2012-04-18
71,TN4U PAC,2000,1,2012-04-16,2012-04-16
71,Education Management Corp,2000,2,2011-06-06,2012-10-09
71,National Alliance of Forest Owners,2000,2,2012-05-07,2012-09-17
98,American Medical Assn,1500,1,2012-09-11,2012-09-11
98,Associated General Contractors,1500,1,2011-03-15,2011-03-15
98,"Powers, Pyles et al",1500,1,2012-04-17,2012-04-17
98,VGM Management,1500,4,2011-08-08,2012-04-19
102,Philips Electronics North America,1250,2,2011-06-13,2011-09-22
103,Arent Fox LLP,1000,1,2012-10-22,2012-10-22
103,Kinetic Concepts,1000,1,2011-02-02,2011-02-02
103,Greenberg Traurig LLP,1000,1,2012-06-19,2012-06-19
103,Rain &amp; Hail Insurance Society,1000,1,2012-05-11,2012-05-11
103,Hershey Co,1000,1,2012-04-18,2012-04-18
103,K&amp;L Gates,1000,1,2011-06-03,2011-06-03
103,Blue Cross &amp; Blue Shield Assn,1000,1,2012-07-18,2012-07-18
103,"Buchanan, Ingersoll &amp; Rooney",1000,1,2011-06-01,2011-06-01
103,EQT Corp,1000,1,2011-06-13,2011-06-13
103,Wells Real Estate Funds,1000,1,2012-02-29,2012-02-29
103,Sun Healthcare,1000,1,2011-02-03,2011-02-03
103,Siemens Corp,1000,1,2011-07-14,2011-07-14
103,Atmos Energy,1000,1,2012-05-30,2012-05-30
103,Family PAC,1000,1,2012-10-02,2012-10-02
103,Dean Foods,1000,1,2012-08-07,2012-08-07
103,Philadelphia Suburban Corp,1000,1,2011-02-25,2011-02-25
103,Citizens Financial Group,1000,1,2011-05-05,2011-05-05
103,USA Rice Federation,1000,1,2011-07-15,2011-07-15
103,Freeport-McMoRan Copper &amp; Gold,1000,1,2012-02-24,2012-02-24
103,American Occupational Therapy Assn,1000,1,2011-03-24,2011-03-24
103,American Sugar Cane League,1000,1,2012-03-13,2012-03-13
103,HDR Inc,1000,1,2011-06-16,2011-06-16
103,National Assn of Postmasters,1000,1,2011-08-04,2011-08-04
103,Wine &amp; Spirits Wholesalers of America,1000,1,2011-07-27,2011-07-27
103,American Veterinary Medical Assn,1000,1,2011-06-27,2011-06-27
103,National Council of Farmer Co-Ops,1000,1,2012-05-15,2012-05-15
103,American Trucking Assns,1000,1,2011-09-29,2011-09-29
103,National Assn of Broadcasters,1000,1,2011-12-15,2011-12-15
103,National Cable &amp; Telecommunications Assn,1000,1,2012-09-06,2012-09-06
103,Associated Builders &amp; Contractors,1000,1,2011-03-08,2011-03-08
103,Monsanto Co,1000,1,2011-12-16,2011-12-16
103,NiSource Inc,1000,1,2012-06-25,2012-06-25
103,National Community Pharmacists Assn,1000,1,2011-07-21,2011-07-21
103,PPG Industries,1000,1,2011-06-13,2011-06-13
103,National Cotton Council,1000,1,2012-03-27,2012-03-27
103,CMR PAC,1000,1,2012-09-11,2012-09-11
103,Hanger Orthopedic Group,1000,1,2012-04-16,2012-04-16
103,Universal Technical Institute,1000,1,2012-09-19,2012-09-19
103,American Petroleum Institute,1000,1,2011-11-17,2011-11-17
103,Assn of Energy Service Companies,1000,1,2012-10-08,2012-10-08
103,Devon Energy,1000,1,2011-09-29,2011-09-29
103,Windstream Communications,1000,1,2011-06-08,2011-06-08
103,Spectra Energy,1000,1,2012-05-25,2012-05-25
103,Direct Supply Inc,1000,1,2012-06-27,2012-06-27
103,National Ocean Industries Assn,1000,1,2012-09-18,2012-09-18
148,Dairylea Cooperative,800,2,2012-05-11,2012-08-13
149,Intl Brotherhood of Electrical Workers,600,2,2011-07-15,2012-07-23
150,Florida Sugar Cane League,500,1,2011-12-06,2011-12-06
150,Safari Club International,500,1,2011-10-18,2011-10-18
150,American Motorcyclist Assn,500,1,2012-08-21,2012-08-21
150,National Pest Control Assn,500,1,2011-07-25,2011-07-25
150,National Pro-Life Alliance,500,1,2012-10-25,2012-10-25
150,PNC Bank National Assn,500,1,2012-05-25,2012-05-25
150,Manufacturer &amp; Business Assn,500,1,2012-10-22,2012-10-22
150,Ohio Assn of Medical Equipment Services,500,1,2011-07-26,2011-07-26
150,Community Health Systems,500,1,2012-09-10,2012-09-10
150,Capella Education,500,1,2012-10-07,2012-10-07
150,Skilled Healthcare Group,500,1,2011-01-26,2011-01-26
150,Irrigation Assn,500,1,2011-12-02,2011-12-02
162,New England Medical Equipment Dealers,250,1,2011-08-08,2011-08-08
162,American Water,250,1,2012-10-31,2012-10-31
162,Pennsylvania Homecare Assn,250,1,2011-07-11,2011-07-11
165,National Right to Work Cmte,100,1,2012-11-01,2012-11-01
