Rank,Customer/Payor,Total,Number of Payments,First Payment,Last Payment
51,Genesee &amp; Wyoming,8500,3,2021-07-08,2022-12-14
53,Independent Community Bankers of America,8000,5,2021-04-26,2022-06-22
54,American Israel Public Affairs Cmte,7936,3,2022-03-22,2022-07-20
55,National Pecan Federation,7500,2,2021-07-15,2022-03-02
55,Cox Enterprises,7500,2,2022-05-13,2022-10-26
55,American Cotton Shippers Assn,7500,2,2021-09-09,2022-04-28
55,National Confectioners Assn,7500,3,2021-12-22,2022-08-29
55,United Egg Assn,7500,3,2021-06-29,2022-07-20
55,International Dairy Foods Assn,7500,2,2021-07-29,2022-09-28
55,Western Peanut Growers Assn,7500,3,2021-03-05,2022-09-23
55,Alabama Peanut Producers Assn,7500,2,2021-08-31,2021-08-31
63,American Soybean Assn,7000,4,2021-05-06,2022-09-08
64,Nutrien Ag Solutions,6500,3,2021-06-02,2022-09-23
64,Tyson Foods,6500,4,2021-06-28,2022-03-09
64,National Beer Wholesalers Assn,6500,4,2021-09-07,2022-09-19
64,NTCA/Rural Broadband Assn,6500,4,2022-01-23,2022-08-10
64,American Physical Therapy Assn,6500,3,2021-06-14,2022-10-12
69,American Forest &amp; Paper Assn,6000,2,2021-12-06,2022-06-30
69,National Assn of Realtors,6000,3,2021-12-21,2022-10-12
69,Safari Club International,6000,3,2021-09-27,2022-10-21
69,Republican Governance Group,6000,5,2021-03-22,2022-09-16
73,California Rice Industry Assn,5996,2,2021-06-09,2022-02-23
74,Missouri Farm Bureau,5500,2,2021-06-30,2022-07-12
75,Bose Public Affairs Group,5000,2,2022-07-20,2022-10-13
75,Animal Wellness Action,5000,4,2021-02-12,2022-07-27
75,Poet LLC,5000,1,2022-06-27,2022-06-27
75,TIAA,5000,1,2022-09-23,2022-09-23
75,US Peanut PAC,5000,1,2021-09-15,2021-09-15
75,Syngenta Corp,5000,2,2022-01-25,2022-03-23
75,National Thoroughbred Racing Assn,5000,1,2022-10-13,2022-10-13
75,Charter Communications,5000,2,2022-02-28,2022-10-13
75,Bunge North America,5000,1,2022-09-14,2022-09-14
75,Bayer Corp,5000,4,2022-05-17,2022-10-17
75,National Milk Producers Federation,5000,2,2021-03-26,2021-09-15
75,Amalgamated Sugar,5000,2,2021-11-19,2022-09-23
75,Lockheed Martin,5000,5,2021-05-21,2022-10-10
75,National Assn of Wheat Growers,5000,1,2022-06-15,2022-06-15
75,Farmers' Rice Cooperative,5000,1,2021-05-24,2021-05-24
75,American Assn of Crop Insurers,5000,1,2022-09-23,2022-09-23
75,North Carolina Farm Bureau,5000,2,2021-07-07,2021-10-04
75,Zurich Insurance,5000,2,2021-10-25,2022-07-13
75,Agricultural Retailers Assn,5000,1,2021-09-02,2021-09-02
75,Farmer Mac,5000,1,2021-12-10,2021-12-10
75,National Roofing Contractors Assn,5000,5,2021-03-20,2022-09-27
75,Williams Companies,5000,1,2022-05-05,2022-05-05
75,Anheuser-Busch,5000,3,2021-06-25,2022-09-12
75,Energy Marketers of America,5000,1,2022-03-14,2022-03-14
75,Weyerhaeuser Co,5000,5,2021-10-04,2022-08-29
75,American Council of Engineering Cos,5000,1,2022-11-04,2022-11-04
75,National Assn of Letter Carriers,5000,2,2022-06-07,2022-09-21
75,North American Meat Institute,5000,2,2021-06-23,2022-04-28
75,American Bakers Assn,5000,3,2022-03-15,2022-10-10
75,National Electrical Contractors Assn,5000,2,2021-06-25,2021-11-05
75,AT&amp;T Inc,5000,2,2022-07-12,2022-10-21
75,"National Stone, Sand &amp; Gravel Assn",5000,2,2021-09-19,2022-09-27
75,National Rural Letter Carriers Assn,5000,2,2022-03-22,2022-05-16
75,American Sugar Cane League,5000,1,2021-12-20,2021-12-20
75,CME Group,5000,1,2022-09-12,2022-09-12
110,National Pest Management Assn,4500,3,2021-09-27,2022-09-20
110,Michigan Farm Bureau,4500,3,2021-06-29,2022-09-02
110,National Assn of Home Builders,4500,4,2021-10-05,2022-10-26
113,American Optometric Assn,4000,2,2022-05-09,2022-10-27
113,Ohio Farm Bureau,4000,2,2021-12-16,2022-09-01
113,GEO Group,4000,2,2021-10-21,2022-03-07
113,Schwan's Co,4000,3,2022-06-15,2022-09-30
113,Scalise for Congress,4000,2,2021-03-23,2021-03-23
118,American Quarter Horse Assn,3900,2,2021-07-19,2022-04-27
119,Balch &amp; Bingham,3500,2,2021-09-13,2022-09-16
119,Associated Milk Producers,3500,2,2021-09-15,2022-02-22
119,Biotechnology Innovation Organization,3500,2,2021-11-18,2022-03-11
119,Livestock Marketing Assn,3500,4,2021-06-22,2022-07-29
119,Texas Corn Producers Assn,3500,2,2021-06-10,2022-05-04
119,National Shooting Sports Foundation,3500,2,2021-06-14,2022-04-06
119,Southeastern Lumber Manufacturers Assn,3500,2,2021-09-30,2022-03-24
119,Florida Fruit &amp; Vegetable Assn,3500,2,2021-04-20,2021-11-02
119,Illinois Farm Bureau,3500,2,2021-05-26,2021-07-06
119,American Occupational Therapy Assn,3500,2,2022-07-19,2022-09-22
119,Walmart Inc,3500,3,2022-06-27,2022-09-28
119,American Beverage Assn,3500,2,2022-04-05,2022-07-21
131,United Parcel Service,3000,2,2021-12-15,2022-06-03
131,Air Line Pilots Assn,3000,2,2021-06-04,2022-08-10
131,American Pistachio Growers,3000,3,2021-02-25,2022-04-05
131,Florida Citrus Mutual,3000,2,2021-04-15,2021-11-10
131,Texas Wheat Producers Assn,3000,3,2021-06-08,2022-09-20
131,Committee for Advancement of Louisiana Agriculture,3000,2,2021-09-13,2022-10-26
131,Southeast Milk,3000,3,2021-02-24,2022-02-28
131,Byron Donalds for Congress,3000,1,2022-09-07,2022-09-07
139,"Dose Of Reality, Optimism &amp; Zeal PAC",2900,1,2022-09-13,2022-09-13
139,VICKY PAC,2900,1,2022-09-09,2022-09-09
139,California Fresh Fruit Assn,2900,1,2021-05-25,2021-05-25
139,California Westside Farmers Inc,2900,1,2022-03-01,2022-03-01
143,Associated General Contractors,2500,1,2022-03-22,2022-03-22
143,Wine Institute,2500,1,2022-09-23,2022-09-23
143,Delta Air Lines,2500,1,2022-10-31,2022-10-31
143,Foley &amp; Lardner,2500,1,2022-02-15,2022-02-15
143,Investment Co Institute,2500,2,2022-03-21,2022-05-06
143,Valero Energy,2500,1,2022-08-16,2022-08-16
143,Chevron Corp,2500,1,2022-09-12,2022-09-12
143,International Assn of Fire Fighters,2500,1,2022-03-03,2022-03-03
143,California Canning Peach Assn,2500,1,2021-05-24,2021-05-24
143,Crop Insurance &amp; Reinsurance Bureau,2500,1,2021-10-28,2021-10-28
143,Ocean Spray Cranberries,2500,1,2022-05-17,2022-05-17
143,SNAC International,2500,1,2022-06-14,2022-06-14
143,Society of Independent Gasoline Marketers,2500,1,2022-10-26,2022-10-26
143,McGuireWoods LLP,2500,2,2021-05-24,2022-12-20
143,American Peanut Shellers Assn,2500,1,2021-09-02,2021-09-02
143,Victory &amp; Freedom PAC,2500,1,2022-02-07,2022-02-07
143,Missouri Corn Growers Assn,2500,1,2022-06-27,2022-06-27
143,National Alliance of Forest Owners,2500,1,2021-10-13,2021-10-13
143,Marathon Petroleum,2500,1,2022-10-04,2022-10-04
143,Keystone Alliance,2500,1,2021-11-18,2021-11-18
143,Association of Equipment Manufacturers,2500,1,2022-10-04,2022-10-04
143,Concordia PAC,2500,1,2021-09-29,2021-09-29
143,National Football League,2500,1,2022-06-27,2022-06-27
143,International Bottled Water Assn,2500,1,2021-11-16,2021-11-16
143,Leadership for Enterprise &amp; Opportunity,2500,2,2021-06-25,2021-06-25
143,Edge Dairy Farmer Cooperative,2500,1,2021-07-19,2021-07-19
143,Texas Red,2500,1,2021-06-11,2021-06-11
143,Cotton Growers of Virginia,2500,1,2021-06-30,2021-06-30
143,Almond Alliance of California,2500,1,2022-02-22,2022-02-22
143,Zoetis Inc,2500,1,2022-09-26,2022-09-26
143,Thompson Coburn LLP,2500,1,2022-07-28,2022-07-28
143,Intl Foodservice Distributors Assn,2500,1,2022-09-30,2022-09-30
143,Hardwood Federation,2500,1,2021-10-20,2021-10-20
143,Squire Patton Boggs,2500,1,2022-09-07,2022-09-07
143,National Peanut Buying Points Assn,2500,1,2021-09-16,2021-09-16
143,Boehringer Ingelheim Corp,2500,1,2022-09-26,2022-09-26
143,HollyFrontier Corp,2500,1,2022-09-14,2022-09-14
143,Maximus Inc,2500,1,2021-07-09,2021-07-09
143,American Assn of Orthodontists,2500,1,2021-07-13,2021-07-13
143,Cozen O'Connor,2500,2,2022-06-23,2022-07-07
143,Pine Trees PAC,2500,1,2022-09-09,2022-09-09
184,Take Back the House 2022,2400,1,2022-09-22,2022-09-22
185,Bulldog PAC,2108,1,2021-07-30,2021-07-30
186,American Kennel Club,2100,3,2022-03-22,2022-10-25
187,Regions Financial,2000,1,2022-10-27,2022-10-27
187,Vote to Elect Republicans Now PAC,2000,1,2022-09-15,2022-09-15
187,Abraham Lincoln PAC,2000,1,2022-05-16,2022-05-16
187,National Grain &amp; Feed Assn,2000,1,2022-03-28,2022-03-28
187,American Wood Council,2000,2,2021-10-22,2022-04-21
187,Darling Ingredients,2000,4,2022-06-15,2022-12-16
187,New York Renewal PAC,2000,1,2021-05-26,2021-05-26
187,Indiana Farm Bureau,2000,2,2021-06-28,2022-02-09
187,Highmark Blue Cross/Blue Shield,2000,2,2021-06-03,2022-02-24
187,Florida Farm Bureau,2000,2,2021-04-16,2022-09-15
187,US Apple Assn,2000,2,2022-03-10,2022-10-03
187,Day &amp; Zimmermann,2000,2,2022-02-24,2022-02-24
187,Independent Electrical Contractors,2000,2,2021-03-16,2022-09-29
187,Pride Mobility Products,2000,2,2021-03-01,2022-09-21
187,Chesapeake Energy,2000,1,2022-04-20,2022-04-20
187,Riceland Foods,2000,2,2021-11-30,2022-02-23
187,Management &amp; Training Corp,2000,1,2022-04-18,2022-04-18
187,Futures Industry Assn,2000,1,2022-04-05,2022-04-05
187,Verizon Communications,2000,1,2022-08-02,2022-08-02
187,American Trucking Assns,2000,1,2022-09-13,2022-09-13
187,Cargill Inc,2000,1,2022-09-29,2022-09-29
187,National Rifle Assn,2000,2,2021-06-02,2022-07-26
187,McDonald's Corp,2000,2,2022-06-27,2022-09-26
187,Fertilizer Institute,2000,1,2022-06-14,2022-06-14
187,Carol for Congress,2000,1,2021-10-19,2021-10-19
187,Jason Smith for Congress,2000,1,2022-09-21,2022-09-21
213,Michigan Milk Producers Assn,1500,2,2021-07-14,2021-10-19
213,National Potato Council,1500,2,2021-05-10,2022-05-09
213,Academy of Nutrition &amp; Dietetics,1500,2,2022-04-22,2022-06-29
213,A Duda &amp; Sons,1500,1,2021-11-04,2021-11-04
213,Delhaize America,1500,1,2022-10-12,2022-10-12
213,Consumer Brands Assn,1500,1,2021-12-15,2021-12-15
213,Sugar Cane Growers Co-op of Florida,1500,2,2021-03-24,2021-11-01
213,American Fuel &amp; Petrochem Manufacturers,1500,1,2022-09-27,2022-09-27
213,Securities Industry &amp; Financial Mkt Assn,1500,1,2022-03-28,2022-03-28
213,Coinbase,1500,1,2022-11-02,2022-11-02
213,Lehigh Hanson,1500,1,2022-10-12,2022-10-12
224,Texans for Jodey Arrington,1120,1,2021-07-30,2021-07-30
225,National Grocers Assn,1000,1,2022-03-14,2022-03-14
225,National Asphalt Pavement Assn,1000,1,2022-03-14,2022-03-14
225,Nebraska Farm Bureau,1000,1,2021-08-17,2021-08-17
225,Western Sugar Cooperative,1000,1,2021-11-22,2021-11-22
225,Rayonier Inc,1000,1,2022-03-31,2022-03-31
225,IEC Corp,1000,1,2022-09-28,2022-09-28
225,Raptor PAC,1000,1,2021-06-25,2021-06-25
225,Elanco US,1000,1,2022-10-12,2022-10-12
225,"Michael, Best &amp; Friedrich",1000,1,2022-05-10,2022-05-10
225,California Cattlemen's Assn,1000,1,2021-06-16,2021-06-16
225,American Seed Trade Assn,1000,1,2022-05-11,2022-05-11
225,Corn Refiners Assn,1000,1,2022-05-10,2022-05-10
225,FS Investments,1000,1,2022-06-21,2022-06-21
225,School Choice Federal PAC,1000,1,2022-09-14,2022-09-14
225,Valley PAC,1000,1,2022-01-28,2022-01-28
225,US Rice Producers Assn,1000,1,2021-06-29,2021-06-29
225,Fraternity &amp; Sorority PAC,1000,1,2021-09-22,2021-09-22
225,Pharmavite LLC,1000,1,2022-10-25,2022-10-25
225,Duane Morris LLP,1000,1,2021-07-01,2021-07-01
225,Amazon.com,1000,1,2022-10-24,2022-10-24
225,Smithfield Foods,1000,1,2022-12-01,2022-12-01
225,Resolute FP US,1000,1,2022-06-14,2022-06-14
225,Essential Utilities Inc,1000,1,2022-06-17,2022-06-17
225,American Assn of Orthopaedic Surgeons,1000,1,2022-09-27,2022-09-27
225,Dallas Safari Club,1000,1,2022-07-19,2022-07-19
225,Kansas Farm Bureau,1000,1,2021-07-07,2021-07-07
225,Graphic Packaging International,1000,1,2022-06-20,2022-06-20
225,National Assn of Health Underwriters,1000,1,2021-06-24,2021-06-24
225,SAIC,1000,1,2022-11-01,2022-11-01
225,Genesis HealthCare,1000,1,2021-03-24,2021-03-24
225,Leonardo DRS,1000,1,2021-07-12,2021-07-12
225,"Nelson, Mullins et al",1000,1,2022-03-08,2022-03-08
225,National Marine Manufacturers Assn,1000,1,2021-12-14,2021-12-14
225,Texas Rice Producers Legislative Group,1000,1,2022-05-02,2022-05-02
225,ArentFox Schiff,1000,1,2022-04-12,2022-04-12
225,PPL Corp,1000,1,2022-06-28,2022-06-28
225,K&amp;L Gates,1000,1,2022-01-19,2022-01-19
225,American Orthotic &amp; Prosthetic Assn,1000,1,2022-08-03,2022-08-03
225,Drummond Co,1000,1,2022-09-14,2022-09-14
225,American Sugarbeet Growers Assn,1000,1,2021-11-12,2021-11-12
225,Holland &amp; Knight,1000,1,2022-06-22,2022-06-22
225,National Assn of Truck Stop Operators,1000,1,2021-12-17,2021-12-17
225,National Assn of Postal Supervisors,1000,1,2022-10-26,2022-10-26
225,National Federation of Independent Business,1000,1,2021-05-12,2021-05-12
225,United Dairymen of Arizona,1000,1,2021-07-20,2021-07-20
225,DTE Energy,1000,1,2022-09-22,2022-09-22
225,US Beet Sugar Assn,1000,1,2021-06-09,2021-06-09
225,Kroger Co,1000,1,2022-04-08,2022-04-08
225,Kraft Heinz Co,1000,1,2022-05-17,2022-05-17
225,Florida Sugar Cane League,1000,1,2021-03-11,2021-03-11
225,Independent Insurance Agents &amp; Brokers of America,1000,1,2022-09-27,2022-09-27
225,NiSource Inc,1000,1,2022-03-23,2022-03-23
277,Plains Cotton Cooperative Assn,750,2,2021-06-07,2022-04-27
277,Ridge Policy Group,750,2,2021-08-25,2022-03-29
279,FNB Corp,700,2,2021-07-19,2021-09-09
280,National Pro-Life Alliance,500,1,2022-12-20,2022-12-20
280,"Brownstein, Hyatt et al",500,1,2021-11-17,2021-11-17
280,Bill PAC (Shuster),500,1,2022-10-04,2022-10-04
280,Rio Grande Valley Sugar Growers,500,1,2022-05-03,2022-05-03
284,Kutak Rock LLP,250,1,2021-08-24,2021-08-24
285,Friends of Snowmobiling,200,1,2022-09-13,2022-09-13
286,American Academy of Neurology,0,2,2022-09-13,2022-12-20
287,PPG Industries,-1000,1,2021-02-03,2021-02-03
288,Erie Insurance,-2000,1,2021-01-12,2021-01-12
289,Excelsior PAC,-2500,1,2021-06-30,2021-06-30
