Rank,Customer/Payor,Total,Number of Payments,First Payment,Last Payment
89,National Sorghum Producers,5000,3,2023-03-14,2023-08-28
89,California Westside Farmers Inc,5000,1,2023-02-17,2023-02-17
89,Amalgamated Sugar,5000,1,2023-02-23,2023-02-23
89,Safari Club International,5000,1,2023-03-18,2023-03-18
89,American Peanut Shellers Assn,5000,1,2023-03-15,2023-03-15
89,Almond Alliance of California,5000,1,2023-02-08,2023-02-08
89,American Cotton Shippers Assn,5000,1,2023-05-16,2023-05-16
89,ConAgra Brands,5000,2,2023-07-13,2024-09-05
89,Texas Farm Bureau,5000,1,2023-12-06,2023-12-06
89,Blackrock Funds Services Group,5000,1,2024-09-25,2024-09-25
89,Amazon.com,5000,2,2023-07-25,2024-03-26
89,American Hospital Assn,5000,3,2023-07-20,2024-09-16
89,Lockheed Martin,5000,4,2023-06-28,2024-09-13
89,American Bakers Assn,5000,1,2023-06-01,2023-06-01
89,Texas Cattle Feeders Assn,5000,1,2023-06-14,2023-06-14
89,National Assn of Wheat Growers,5000,1,2023-05-24,2023-05-24
89,Optiver Americas,5000,1,2024-06-04,2024-06-04
89,Independent Insurance Agents &amp; Brokers of America,5000,2,2024-02-21,2024-04-22
89,Texas Corn Producers Assn,5000,1,2023-03-14,2023-03-14
89,Alabama Peanut Producers Assn,5000,1,2023-03-09,2023-03-09
89,Associated Builders &amp; Contractors,5000,1,2024-06-20,2024-06-20
89,National Alliance of Forest Owners,5000,2,2023-07-13,2024-01-31
89,American Quarter Horse Assn,5000,1,2024-04-23,2024-04-23
89,National Auto Dealers Assn,5000,1,2023-09-06,2023-09-06
89,American Orthotic &amp; Prosthetic Assn,5000,1,2023-05-23,2023-05-23
89,Morgan Stanley,5000,2,2023-06-07,2024-09-18
89,Farmer Mac,5000,1,2024-07-24,2024-07-24
89,America's Credit Unions,5000,2,2024-03-28,2024-10-03
89,Keystone Alliance,5000,1,2023-09-25,2023-09-25
89,Alabama Farmers Federation,5000,1,2024-09-12,2024-09-12
89,North Carolina Farm Bureau,5000,1,2023-04-20,2023-04-20
89,Society for Cardiovascular Angiography,5000,1,2024-10-08,2024-10-08
89,Boeing Co,5000,5,2023-02-21,2024-04-19
89,International Bottled Water Assn,5000,1,2024-08-14,2024-08-14
89,California Citrus Mutual,5000,1,2024-09-06,2024-09-06
89,Bunge North America,5000,1,2023-03-28,2023-03-28
89,National Pork Producers Council,5000,1,2023-04-11,2023-04-11
89,Huck PAC,5000,1,2024-10-09,2024-10-09
89,National Peanut Buying Points Assn,5000,1,2023-03-22,2023-03-22
89,McDonald's Corp,5000,2,2023-06-13,2024-09-25
89,Charter Communications,5000,2,2023-08-02,2024-04-30
89,Humane Society Legislative Fund,5000,2,2023-03-17,2023-06-02
89,Air Line Pilots Assn,5000,1,2024-09-23,2024-09-23
89,Council of Insurance Agents &amp; Brokers,5000,1,2024-09-06,2024-09-06
89,Cargill Inc,5000,3,2023-05-30,2024-02-27
89,American Beverage Assn,5000,2,2023-03-15,2024-02-13
89,National Fuel Gas Co,5000,4,2023-03-24,2024-04-03
89,Wine &amp; Spirits Wholesalers of America,5000,1,2024-05-28,2024-05-28
89,Cozen O'Connor,5000,2,2023-12-04,2024-05-13
144,American Kennel Club,4800,5,2023-03-22,2024-10-18
145,Verizon Communications,4500,2,2023-05-31,2024-06-25
145,Livestock Marketing Assn,4500,3,2023-03-28,2024-09-18
147,Maximus Inc,4000,3,2023-05-11,2024-06-10
147,Tyson Foods,4000,2,2023-05-01,2023-07-14
147,Schwan's Co,4000,3,2023-06-07,2024-09-05
150,BGR Group,3532,2,2023-02-06,2023-02-06
151,Rayonier Inc,3500,2,2023-04-19,2024-02-02
151,National Pecan Federation,3500,1,2023-12-11,2023-12-11
151,National Assn/Farm Service Agency County Employees,3500,1,2023-03-06,2023-03-06
151,Kraft Heinz Co,3500,2,2023-06-22,2024-06-27
151,United Dairymen of Arizona,3500,2,2023-05-19,2024-03-05
151,National Tank Truck Carriers Inc,3500,2,2023-03-03,2024-04-10
151,Louis Dreyfus Co,3500,1,2023-12-05,2023-12-05
158,California Cattlemen's Assn,3300,1,2024-10-21,2024-10-21
158,JM Smucker Co,3300,2,2023-09-08,2024-02-14
158,Pennsylvania Honor,3300,1,2024-04-15,2024-04-15
161,Boone &amp; Crockett Club,3000,1,2023-09-07,2023-09-07
161,Associated Milk Producers,3000,4,2023-08-01,2024-05-21
161,Delhaize America,3000,3,2023-07-17,2024-05-08
161,Riceland Foods,3000,2,2023-01-17,2023-11-29
161,Securities Industry &amp; Financial Mkt Assn,3000,2,2023-05-12,2024-09-26
161,Bank of America,3000,2,2023-06-09,2024-09-10
161,GE Healthcare,3000,2,2024-08-08,2024-09-23
161,Career Education Colleges &amp; Universities,3000,3,2023-07-19,2024-09-17
161,Biotechnology Innovation Organization,3000,1,2024-05-16,2024-05-16
161,Regions Financial,3000,2,2023-11-21,2024-09-26
171,Missouri Corn Growers Assn,2500,1,2023-08-10,2023-08-10
171,PotlatchDeltic Corp,2500,1,2024-02-26,2024-02-26
171,Boehringer Ingelheim Corp,2500,1,2024-08-27,2024-08-27
171,National Football League,2500,1,2024-09-23,2024-09-23
171,Coinbase,2500,1,2024-03-28,2024-03-28
171,"National Stone, Sand &amp; Gravel Assn",2500,1,2023-03-28,2023-03-28
171,Renewable Fuels Assn,2500,1,2023-07-18,2023-07-18
171,Cronos USA,2500,3,2023-06-30,2024-06-24
171,Phillips 66,2500,1,2024-08-23,2024-08-23
171,American Property Casualty Insurance Assn,2500,1,2024-09-23,2024-09-23
171,Food Solutions Action,2500,1,2023-07-25,2023-07-25
171,National Federation of Independent Business,2500,2,2024-04-03,2024-07-17
171,Electing Majority Making Effective Republicans,2500,1,2024-02-23,2024-02-23
171,National Grain &amp; Feed Assn,2500,1,2024-03-19,2024-03-19
171,Thompson Coburn LLP,2500,1,2023-05-08,2023-05-08
171,American Seed Trade Assn,2500,1,2023-03-07,2023-03-07
171,American Academy of Dermatology Assn,2500,1,2024-04-02,2024-04-02
171,National Assn of Truck Stop Operators,2500,1,2023-09-01,2023-09-01
171,Producers Rice Mill Inc,2500,1,2023-05-18,2023-05-18
171,Coca-Cola Co,2500,1,2024-02-12,2024-02-12
171,Futures Industry Assn,2500,1,2024-09-30,2024-09-30
171,Southeast Milk,2500,2,2023-05-24,2024-05-23
171,Zoetis Inc,2500,1,2023-02-07,2023-02-07
171,National Potato Council,2500,1,2023-01-23,2023-01-23
171,American Assn of Orthopaedic Surgeons,2500,1,2023-12-15,2023-12-15
171,Green Plains,2500,1,2023-06-22,2023-06-22
171,National Electrical Contractors Assn,2500,1,2024-04-15,2024-04-15
171,Marathon Petroleum,2500,1,2023-09-25,2023-09-25
171,Anheuser-Busch,2500,1,2024-09-13,2024-09-13
171,Investment Co Institute,2500,1,2024-04-22,2024-04-22
171,Clean Fuels Alliance America,2500,1,2023-06-20,2023-06-20
171,Poet LLC,2500,1,2023-08-01,2023-08-01
171,Southern Co Gas,2500,1,2023-04-27,2023-04-27
171,Goldman Sachs,2500,1,2023-03-24,2023-03-24
171,Altria Group,2500,1,2023-04-19,2023-04-19
171,HF Sinclair Corp,2500,1,2023-09-13,2023-09-13
171,CHS Inc,2500,1,2023-02-16,2023-02-16
171,Southeastern Lumber Manufacturers Assn,2500,2,2023-06-26,2024-03-04
171,Exxon Mobil,2500,1,2023-07-11,2023-07-11
171,NiSource Inc,2500,1,2023-03-24,2023-03-24
171,Heidelberg Materials US,2500,1,2024-10-03,2024-10-03
171,CGB Enterprises,2500,1,2023-02-24,2023-02-24
171,JR Simplot Co,2500,1,2023-10-06,2023-10-06
171,American Gas Assn,2500,1,2023-03-25,2023-03-25
171,Blank Rome LLP,2500,1,2023-09-22,2023-09-22
171,Genesee &amp; Wyoming,2500,2,2024-03-07,2024-03-07
171,California Farm Bureau,2500,1,2023-03-07,2023-03-07
218,Resolute FP US,2000,2,2024-03-11,2024-04-11
218,Leadership for Enterprise &amp; Opportunity,2000,2,2023-01-31,2023-07-25
218,Bank of New York Mellon,2000,1,2024-08-27,2024-08-27
218,Covington &amp; Burling,2000,1,2024-07-09,2024-07-09
218,Foley &amp; Lardner,2000,1,2023-05-05,2023-05-05
218,Day &amp; Zimmermann,2000,2,2023-09-06,2024-09-25
218,Pharmavite LLC,2000,2,2023-07-31,2024-12-17
218,Growth Energy,2000,2,2023-03-07,2024-09-26
218,Western Sugar Cooperative,2000,1,2023-02-17,2023-02-17
218,American Occupational Therapy Assn,2000,2,2023-06-14,2024-02-15
218,Jim Jordan for Congress,2000,1,2024-03-29,2024-03-29
218,Govern PAC,2000,1,2023-08-07,2023-08-07
218,Bank of New York Mellon,2000,1,2023-06-22,2023-06-22
218,Wawa Inc,2000,1,2023-05-04,2023-05-04
218,International Franchise Assn,2000,2,2023-06-22,2024-04-25
218,American Maritime Officers,2000,1,2024-04-17,2024-04-17
218,Clark Street Assoc,2000,1,2023-03-26,2023-03-26
218,AT&amp;T Inc,2000,2,2024-03-19,2024-05-23
218,Bulldog PAC,2000,1,2023-03-08,2023-03-08
218,National Rifle Assn,2000,2,2023-05-10,2024-07-23
218,National Farmers Union,2000,2,2023-05-11,2024-04-05
239,FGS Global,1500,1,2024-03-15,2024-03-15
239,DAN-PAFIRST PAC,1500,1,2024-12-19,2024-12-19
239,US Rice Producers Assn,1500,1,2023-11-09,2023-11-09
239,National Assn of Letter Carriers,1500,1,2024-02-28,2024-02-28
239,Crowley Maritime,1500,1,2023-10-01,2023-10-01
239,American Society of Anesthesiologists,1500,1,2024-02-05,2024-02-05
239,American Assn/Oral &amp; Maxillofacial Surg,1500,1,2024-08-14,2024-08-14
239,GPA Midstream Assn,1500,1,2024-05-16,2024-05-16
239,US Beet Sugar Assn,1500,1,2023-02-28,2023-02-28
248,Holland &amp; Knight,1000,1,2023-04-27,2023-04-27
248,Intercontinental Exchange Inc,1000,1,2024-09-06,2024-09-06
248,Elanco US,1000,1,2024-02-15,2024-02-15
248,Wayne Farms,1000,1,2024-07-19,2024-07-19
248,Beer Institute,1000,1,2024-09-24,2024-09-24
248,American Short Line &amp; Regional RR Assn,1000,1,2023-07-27,2023-07-27
248,Texas Rice Producers Legislative Group,1000,1,2023-04-25,2023-04-25
248,Plains Cotton Cooperative Assn,1000,1,2023-11-17,2023-11-17
248,PG&amp;E Corp,1000,1,2023-06-14,2023-06-14
248,Salem Media Group,1000,1,2024-05-15,2024-05-15
248,Hanger Inc,1000,1,2024-07-22,2024-07-22
248,Small Business Investor Alliance,1000,1,2023-09-15,2023-09-15
248,Fulton Financial,1000,1,2024-08-13,2024-08-13
248,National Assn of Insurance &amp; Financial Advisors,1000,1,2023-06-22,2023-06-22
248,Independence Blue Cross,1000,1,2023-09-12,2023-09-12
248,Independent Electrical Contractors,1000,1,2023-03-29,2023-03-29
248,Intl Foodservice Distributors Assn,1000,1,2023-08-15,2023-08-15
248,Fidelity National Information Services,1000,1,2024-11-26,2024-11-26
248,K&amp;L Gates,1000,1,2024-09-17,2024-09-17
248,AmericanHort,1000,1,2023-12-01,2023-12-01
248,Ballard Spahr LLP,1000,1,2024-04-18,2024-04-18
248,American Institute of Architects,1000,1,2023-05-03,2023-05-03
248,Citigroup Inc,1000,1,2024-09-30,2024-09-30
248,Ecolab Inc,1000,1,2024-03-21,2024-03-21
248,Keurig Dr Pepper,1000,1,2024-11-20,2024-11-20
248,Dentons US,1000,1,2023-04-14,2023-04-14
248,Highmark Blue Cross/Blue Shield,1000,1,2023-05-11,2023-05-11
248,National Tooling &amp; Machining Assn,1000,1,2023-03-23,2023-03-23
248,DTE Energy,1000,1,2023-05-02,2023-05-02
248,Alston &amp; Bird,1000,1,2023-02-22,2023-02-22
248,Tom James Co,1000,1,2023-05-23,2023-05-23
248,Texas Wheat Producers Assn,1000,1,2023-03-14,2023-03-14
248,Sysco Corp,1000,1,2024-02-06,2024-02-06
248,Landus Cooperative,1000,1,2024-10-25,2024-10-25
248,Precision Metalforming Assn,1000,1,2024-04-09,2024-04-09
248,Louisiana Rice PAC,1000,1,2023-05-09,2023-05-09
248,Arkansas Rice Producers Group,1000,1,2023-05-04,2023-05-04
248,"Nelson, Mullins et al",1000,1,2023-03-17,2023-03-17
248,Corn Refiners Assn,1000,1,2023-05-16,2023-05-16
248,Managed Funds Assn,1000,1,2023-09-26,2023-09-26
248,National Thoroughbred Racing Assn,1000,1,2023-09-14,2023-09-14
248,Mosaic Co,1000,1,2023-02-20,2023-02-20
248,Sylvamo Corp,1000,1,2024-03-19,2024-03-19
248,National Retail Federation,1000,1,2024-03-14,2024-03-14
248,Retail Industry Leaders Assn,1000,1,2024-01-30,2024-01-30
248,Diageo North America,1000,1,2024-02-12,2024-02-12
248,International Warehouse Logistics Assn,1000,1,2024-09-16,2024-09-16
248,"Brownstein, Hyatt et al",1000,1,2023-04-25,2023-04-25
248,Supporting Electing American Leaders,1000,1,2023-10-12,2023-10-12
248,Wakefern Food,1000,1,2023-05-25,2023-05-25
248,FMI The Food Industry Assn,1000,1,2023-05-10,2023-05-10
248,Crop Insurance &amp; Reinsurance Bureau,1000,1,2024-01-26,2024-01-26
248,American Wood Council,1000,1,2024-03-04,2024-03-04
248,National Council of Textile Orgs,1000,1,2024-11-04,2024-11-04
248,PIM Brands,1000,1,2023-03-17,2023-03-17
248,American Physical Therapy Assn,1000,1,2024-03-12,2024-03-12
248,Dominion Energy,1000,1,2023-05-03,2023-05-03
248,FNB Corp,1000,1,2024-08-14,2024-08-14
248,Society of American Florists,1000,1,2023-11-09,2023-11-09
248,FMC Corp,1000,1,2023-09-15,2023-09-15
248,American Assn of Nurse Practitioners,1000,1,2024-09-24,2024-09-24
248,Domestic Energy Producers Alliance,1000,1,2024-10-09,2024-10-09
248,AO Smith Corp,1000,1,2023-05-01,2023-05-01
248,National Assn of Broadcasters,1000,1,2024-02-01,2024-02-01
312,Academy of Nutrition &amp; Dietetics,500,1,2024-02-29,2024-02-29
312,Good Fund,500,1,2023-06-16,2023-06-16
312,National Pro-Life Alliance,500,1,2024-10-17,2024-10-17
312,National Grape Co-op Assn,500,1,2023-03-16,2023-03-16
312,"Bryan, Cave et al",500,1,2023-09-27,2023-09-27
312,Ridge Policy Group,500,1,2023-07-27,2023-07-27
312,S&amp;T Bank,500,1,2023-06-27,2023-06-27
319,"Akin, Gump et al",375,1,2023-09-22,2023-09-22
320,BOG-PAC,200,1,2023-09-23,2023-09-23
320,Friends of Snowmobiling,200,1,2023-12-11,2023-12-11
322,Americans Against Socialist Authoritarians,100,1,2024-07-26,2024-07-26
323,National Restaurant Assn,0,2,2023-04-25,2023-10-24
324,American Optometric Assn,-1500,1,2023-05-05,2023-05-05
