Rank,Customer/Payor,Total,Number of Payments,First Payment,Last Payment
95,American Wood Council,2000,2,2017-12-07,2018-02-13
95,Livestock Marketing Assn,2000,2,2017-07-25,2017-12-12
95,Owner-Operator Independent Drivers Assn,2000,2,2018-05-14,2018-06-04
95,PPL Corp,2000,2,2017-06-30,2018-05-04
95,Anadarko Petroleum,2000,2,2017-06-14,2018-02-26
95,Institute of Makers of Explosives,2000,2,2017-09-13,2018-05-07
95,Home Depot,2000,1,2018-04-27,2018-04-27
95,Lockheed Martin,2000,2,2017-07-07,2017-12-19
95,UnitedHealth Group,2000,1,2018-06-26,2018-06-26
95,"Nelson, Mullins et al",2000,2,2017-02-10,2018-02-06
95,Siemens Corp,2000,2,2017-07-10,2018-09-21
95,American Assn of Nurse Practitioners,2000,2,2017-11-01,2018-08-03
95,Amazon.com,2000,2,2018-03-14,2018-05-25
95,Investment Co Institute,2000,2,2017-06-15,2018-02-09
95,Walmart Inc,2000,2,2017-08-15,2018-03-01
95,American Beverage Assn,2000,1,2017-06-09,2017-06-09
95,American Veterinary Medical Assn,2000,2,2018-02-06,2018-02-20
95,AT&amp;T Inc,2000,2,2017-10-20,2018-09-14
95,National Rifle Assn,2000,2,2017-06-29,2018-04-24
95,American Council of Engineering Cos,2000,2,2017-08-08,2018-09-17
95,Credit Union National Assn,2000,2,2017-03-09,2018-08-16
95,Weyerhaeuser Co,2000,1,2018-03-01,2018-03-01
95,FMC Corp,2000,2,2018-03-15,2018-10-23
95,Petroleum Marketers Assn,2000,1,2018-10-23,2018-10-23
125,Aqua America,1700,1,2017-09-07,2017-09-07
126,American Assn for Homecare,1500,1,2017-10-11,2017-10-11
126,Independent Electrical Contractors,1500,2,2017-03-22,2018-06-12
126,Arent Fox LLP,1500,2,2017-05-22,2017-08-21
126,National Assn of Letter Carriers,1500,1,2018-03-22,2018-03-22
126,Associated Equipment Distributors,1500,2,2017-09-20,2018-07-24
126,Associated General Contractors,1500,1,2017-11-14,2017-11-14
126,International Bottled Water Assn,1500,2,2017-06-22,2018-03-27
133,Duane Morris LLP,1250,3,2017-03-06,2018-09-21
134,Precision Metalforming Assn,1192,2,2018-04-13,2018-04-18
135,National Tooling &amp; Machining Assn,1172,1,2018-04-13,2018-04-13
136,Branch Banking &amp; Trust,1000,1,2018-10-16,2018-10-16
136,International Franchise Assn,1000,1,2017-06-23,2017-06-23
136,Fertilizer Institute,1000,1,2018-03-16,2018-03-16
136,Society of Independent Gasoline Marketers,1000,1,2018-03-05,2018-03-05
136,National Active &amp; Retired Federal Employees Assn,1000,1,2018-06-22,2018-06-22
136,Coca-Cola Co,1000,1,2017-06-19,2017-06-19
136,American Health Care Assn,1000,1,2017-07-05,2017-07-05
136,American Forest &amp; Paper Assn,1000,1,2018-03-29,2018-03-29
136,American Bakers Assn,1000,1,2017-07-17,2017-07-17
136,Independent Insurance Agents &amp; Brokers of America,1000,1,2018-05-08,2018-05-08
136,Shell Oil,1000,1,2017-11-20,2017-11-20
136,United Fresh Produce Assn,1000,1,2017-10-13,2017-10-13
136,Owens-Illinois,1000,1,2017-03-23,2017-03-23
136,GEO Group,1000,1,2018-09-21,2018-09-21
136,Day &amp; Zimmermann,1000,1,2017-03-17,2017-03-17
136,National Assn of Health Underwriters,1000,1,2017-10-11,2017-10-11
136,Grocery Manufacturers Assn,1000,1,2017-06-28,2017-06-28
136,Agricultural Retailers Assn,1000,1,2018-10-24,2018-10-24
136,Capital Blue Cross,1000,1,2018-10-08,2018-10-08
136,USA Rice Federation,1000,1,2017-11-06,2017-11-06
136,Cozen O'Connor,1000,1,2018-10-08,2018-10-08
136,Capital One Financial,1000,1,2018-09-06,2018-09-06
136,Independent Petroleum Assn of America,1000,1,2017-11-15,2017-11-15
136,Dow AgroSciences,1000,1,2018-02-06,2018-02-06
136,Wexler &amp; Walker Public Policy Assoc,1000,1,2018-02-14,2018-02-14
136,Career Education Colleges &amp; Universities,1000,1,2018-08-29,2018-08-29
136,K&amp;L Gates,1000,1,2017-09-01,2017-09-01
136,Blue Cross &amp; Blue Shield Assn,1000,1,2017-07-19,2017-07-19
136,Air Products &amp; Chemicals Inc,1000,1,2018-01-03,2018-01-03
136,Academy of Nutrition &amp; Dietetics,1000,2,2017-03-22,2018-06-26
136,CHS Inc,1000,1,2017-05-17,2017-05-17
136,Blank Rome LLP,1000,1,2018-02-06,2018-02-06
136,United Egg Assn,1000,1,2018-02-06,2018-02-06
136,National Assn Plumbing-Heating-Cooling Contractors,1000,1,2018-10-23,2018-10-23
136,National Alliance of Forest Owners,1000,1,2018-02-28,2018-02-28
136,Polsinelli PC,1000,1,2018-03-02,2018-03-02
136,National Ocean Industries Assn,1000,1,2018-09-05,2018-09-05
136,Fraternity &amp; Sorority PAC,1000,1,2018-08-24,2018-08-24
136,National Assn/Farm Service Agency County Employees,1000,1,2017-10-17,2017-10-17
136,Barnes &amp; Thornburg,1000,1,2018-09-25,2018-09-25
136,US Rice Producers Assn,1000,1,2018-02-28,2018-02-28
136,National Grain &amp; Feed Assn,1000,1,2018-03-28,2018-03-28
136,FNB Corp,1000,2,2017-07-11,2018-08-07
136,Thompson Coburn LLP,1000,1,2017-09-06,2017-09-06
136,FS Investments,1000,1,2017-09-27,2017-09-27
136,Ridge Policy Group,1000,3,2017-07-25,2018-06-30
136,National Wooden Pallet &amp; Container Assn,1000,1,2018-11-05,2018-11-05
183,"Akin, Gump et al",750,1,2018-03-12,2018-03-12
184,Western Peanut Growers Assn,500,1,2018-04-10,2018-04-10
184,National Pro-Life Alliance,500,1,2018-09-24,2018-09-24
184,Panhandle Peanut Growers,500,1,2018-04-12,2018-04-12
184,Family PAC,500,1,2018-06-06,2018-06-06
188,Joe Wilson for Congress,443,1,2018-10-26,2018-10-26
189,GT Force,438,1,2018-10-17,2018-10-17
190,AECOM US,250,1,2017-03-08,2017-03-08
190,National Assn of Broadcasters,250,1,2018-11-05,2018-11-05
192,CONSOL Energy,0,2,2017-03-07,2018-07-24
